Shot #,input_name,output_name,FNumber,ExposureTime,ExposureBiasValue,Date,Time,Location,Latitude,Longitude,Notes,ISOSpeedRatings,FocalLength,FocalLengthIn35mmFilm,LensLength,ImageDescription
,000010450001.jpg,20190928_1.jpg,4,1/1000,- 1/3,2019-09-28,5:04 PM,,,,,400,50,50,50,Shot on Fujicolor Superia X-tra 400
,000010450002.jpg,20190928_2.jpg,11,1/1000,- 1/3,2019-09-28,5:04 PM,,,,,400,50,50,50,Shot on Fujicolor Superia X-tra 400
,000010450003.jpg,20190928_3.jpg,11,1/500,0,2019-09-28,5:04 PM,,,,,400,50,50,50,Shot on Fujicolor Superia X-tra 400
,000010450004.jpg,20190928_4.jpg,5.6,1/500,0,2019-09-28,5:04 PM,,,,,400,50,50,50,Shot on Fujicolor Superia X-tra 400
,000010450005.jpg,20190928_5.jpg,5.6,1/60,0,2019-09-28,5:18 PM,,,,,400,50,50,50,Shot on Fujicolor Superia X-tra 400
,000010450006.jpg,20190928_6.jpg,5.6,1/500,0,2019-09-28,5:27 PM,,,,,400,50,50,50,Shot on Fujicolor Superia X-tra 400
,000010450007.jpg,20190928_7.jpg,4,1/500,0,2019-09-28,5:31 PM,,,,,400,50,50,50,Shot on Fujicolor Superia X-tra 400
,000010450008.jpg,20190928_8.jpg,8,1/250,0,2019-09-28,5:32 PM,,,,,400,50,50,50,Shot on Fujicolor Superia X-tra 400
,000010450009.jpg,20190928_9.jpg,5.6,1/1000,0,2019-09-28,5:36 PM,,,,,400,50,50,50,Shot on Fujicolor Superia X-tra 400
,000010450010.jpg,20190928_10.jpg,4,1/500,0,2019-09-28,5:37 PM,,,,,400,50,50,50,Shot on Fujicolor Superia X-tra 400
,000010450011.jpg,20190928_11.jpg,4,1/500,0,2019-09-28,5:42 PM,,,,,400,50,50,50,Shot on Fujicolor Superia X-tra 400
,000010450012.jpg,20190928_12.jpg,8,1/1000,0,2019-09-28,5:46 PM,,,,,400,50,50,50,Shot on Fujicolor Superia X-tra 400
,000010450013.jpg,20190928_13.jpg,4,1/125,0,2019-09-28,5:55 PM,,,,,400,50,50,50,Shot on Fujicolor Superia X-tra 400
,000010450014.jpg,20190928_14.jpg,4,1/500,0,2019-09-28,6:01 PM,,,,,400,50,50,50,Shot on Fujicolor Superia X-tra 400
,000010450015.jpg,20190928_15.jpg,5.6,1/500,0,2019-09-28,6:04 PM,,,,,400,50,50,50,Shot on Fujicolor Superia X-tra 400
,000010450016.jpg,20190928_16.jpg,4,1/500,0,2019-09-28,6:08 PM,,,,,400,50,50,50,Shot on Fujicolor Superia X-tra 400
,000010450017.jpg,20190928_17.jpg,2.8,1/125,0,2019-09-28,6:17 PM,,,,,400,50,50,50,Shot on Fujicolor Superia X-tra 400
,000010450018.jpg,20190928_18.jpg,4,1/30,0,2019-09-28,6:18 PM,,,,,400,50,50,50,Shot on Fujicolor Superia X-tra 400
,000010450019.jpg,20190928_19.jpg,5.6,1/30,0,2019-09-28,6:22 PM,,,,,400,50,50,50,Shot on Fujicolor Superia X-tra 400
,000010450020.jpg,20191005_01.jpg,5.6,1/1000,- 2/3,2019-10-05,4:32 PM,,,,,400,50,50,50,Shot on Fujicolor Superia X-tra 400
,000010450021.jpg,20191005_02.jpg,1.8,1/1000,- 2/3,2019-10-05,4:41 PM,,,,,400,50,50,50,Shot on Fujicolor Superia X-tra 400
,000010450022.jpg,20191005_03.jpg,2.8,1/1000,0,2019-10-05,4:42 PM,,,,,400,50,50,50,Shot on Fujicolor Superia X-tra 400
,000010450023.jpg,20191005_04.jpg,5.6,1/1000,0,2019-10-05,4:44 PM,,,,,400,50,50,50,Shot on Fujicolor Superia X-tra 400
,000010450024.jpg,20191005_05.jpg,5.6,1/250,0,2019-10-05,4:48 PM,,,,,400,,,70-210,Shot on Fujicolor Superia X-tra 400
,000010450025.jpg,20191005_06.jpg,5.6,1/250,0,2019-10-05,4:48 PM,,,,,400,,,70-210,Shot on Fujicolor Superia X-tra 400
,000010450026.jpg,20191005_07.jpg,5.6,1/250,0,2019-10-05,4:51 PM,,,,,400,50,50,50,Shot on Fujicolor Superia X-tra 400
,000010450027.jpg,20191005_08.jpg,11,1/125,0,2019-10-05,4:55 PM,,,,,400,,,70-210,Shot on Fujicolor Superia X-tra 400
,000010450028.jpg,20191005_09.jpg,11,1/125,2/3,2019-10-05,4:55 PM,,,,,400,,,70-210,Shot on Fujicolor Superia X-tra 400
,000010450029.jpg,20191005_10.jpg,4,1/125,2/3,2019-10-05,4:57 PM,,,,,400,,,70-210,Shot on Fujicolor Superia X-tra 400
,000010450030.jpg,20191005_11.jpg,5.6,1/1000,2/3,2019-10-05,5:03 PM,,,,,400,50,50,50,Shot on Fujicolor Superia X-tra 400
,000010450031.jpg,20191005_12.jpg,4,1/60,0,2019-10-05,5:12 PM,,,,,400,50,50,50,Shot on Fujicolor Superia X-tra 400
,000010450032.jpg,20191005_13.jpg,4,1/60,0,2019-10-05,5:13 PM,,,,,400,50,50,50,Shot on Fujicolor Superia X-tra 400
,000010450033.jpg,20191005_14.jpg,4,1/1000,0,2019-10-05,5:15 PM,,,,,400,50,50,50,Shot on Fujicolor Superia X-tra 400
,000010450034.jpg,20191005_15.jpg,2.8,1/250,0,2019-10-05,5:19 PM,,,,,400,50,50,50,Shot on Fujicolor Superia X-tra 400
,000010450035.jpg,20191005_16.jpg,2.8,1/1000,0,2019-10-05,5:27 PM,,,,,400,50,50,50,Shot on Fujicolor Superia X-tra 400
,000010450036.jpg,20191005_17.jpg,4,1/15,0,2019-10-05,5:40 PM,,,,,400,50,50,50,Shot on Fujicolor Superia X-tra 400
